1330931,162360,9,25.23,4,6,80.41,592.58,573.44
6749927,1515265,54,118.78,1,329,89.38,599.79,590.21
2231160,314509,46,38.52,3,76,93.93,563.98,561.22
51604372,13075048,188,907.98,2,3555,91.02,574.3,528.16
32034107,7980657,103,558.91,4,1960,87.81,559.45,598.66
64266841,15186220,184,1112.86,2,4743,88.78,523.52,575.89
20912005,5163120,87,363.23,2,1052,92.35,575.89,600.38
42826906,11067498,84,757.11,2,2865,83.83,538.3,571.59
18789481,4690350,101,325.79,3,956,88.5,572.84,525.67
55321204,13924228,115,971.14,3,4018,86.1,585.11,630.26
5802186,1165165,49,99.63,3,291,88.14,555.91,638.37
9818868,2258734,56,173.18,3,478,84.0,546.83,620.83
25494088,6623265,157,444.39,3,1417,78.58,548.24,593.38
76036624,18094399,187,1321.47,3,6112,90.72,585.42,584.07
30889608,7919285,66,543.16,3,1899,79.37,546.8,531.43
5890642,1185822,35,99.12,4,292,94.03,569.6,571.01
35811758,9218031,52,626.99,0,2294,80.11,602.09,632.53
50759273,12375438,87,886.33,4,3503,77.68,597.24,618.41
1289448,134376,14,25.21,2,7,92.48,567.95,569.68
10919137,2593475,92,194.65,2,534,88.43,553.48,595.42
1313295,149571,21,26.39,6,6,94.07,580.71,564.71
15053597,3885247,398,264.29,1,696,90.48,500.45,527.16
71410593,16728000,77,1236.73,1,5371,94.44,498.3,594.31
48984136,12237657,281,861.42,5,3361,90.94,544.77,543.26
23654451,5920799,52,414.05,2,1380,87.96,573.21,557.95
1129177,76398,7,20.53,0,1,81.44,535.3,632.71
1151892,94773,13,21.78,6,1,77.69,516.7,537.65
4487418,810291,48,77.00,2,228,79.46,576.44,625.76
53012813,13458969,1034,939.80,1,3556,92.35,539.15,563.23
59511961,14536063,202,1044.39,3,4441,89.17,516.42,593.93
20921962,5191691,176,363.74,4,1049,89.5,520.88,614.13
21522428,5335090,98,371.43,4,1114,90.46,520.55,597.88
60703679,15384547,766,1080.67,2,4467,83.23,579.77,603.4
29208587,7501599,109,513.66,3,1712,82.1,507.61,548.64
14971251,3776893,80,260.60,2,708,79.99,606.57,569.76
146888,48998,7,4.04,0,0,93.93,547.5,596.42
25328915,6506907,89,439.84,3,1416,92.12,535.54,554.83
1386580,212371,48,28.30,1,6,94.17,555.26,589.82
1335128,157275,32,26.45,7,6,80.58,504.51,535.68
1252988,132242,32,24.50,2,8,83.8,559.59,580.22
49081892,12428024,145,875.80,4,3385,77.43,539.43,591.03
67316993,16482621,158,1162.54,5,4956,85.89,607.25,590.67
55067893,13882150,190,966.13,2,4002,80.02,547.69,564.34
11078040,2594591,46,196.36,2,538,86.58,539.45,634.87
5429469,1005425,49,94.20,3,291,84.52,522.66,614.31
49475197,12202747,110,872.50,2,3417,87.48,516.99,550.82
34626513,8626493,118,610.01,3,2236,89.42,594.52,634.84
6814696,1535021,81,116.71,4,329,82.99,560.38,590.93
1300705,137382,14,25.64,1,7,77.56,504.1,595.25
7956659,1809251,48,138.86,1,393,77.48,575.96,623.33
1340075,158861,14,24.78,0,6,88.52,543.22,532.03
21748465,5351043,89,374.37,4,1156,85.54,582.3,623.23
8350285,1934769,68,147.21,2,409,88.92,598.83,640.89
50038531,12666638,112,881.34,1,3471,82.11,534.91,580.78
21705783,5336046,72,372.71,7,1157,84.52,586.67,585.96
4526837,800593,32,75.12,1,239,82.25,521.47,559.78
20794362,5100318,110,356.22,0,1048,92.04,561.94,546.31
1336871,160699,35,26.92,3,6,83.71,586.31,613.04
12801385,3221551,77,225.09,1,596,89.61,581.13,559.53
71877374,16892055,165,1231.33,1,5374,85.03,524.64,527.3
20951556,5285604,60,361.08,1,1053,78.03,550.19,574.06
44078922,11013552,133,778.28,1,2986,80.12,556.86,569.64
7020847,1575685,58,125.64,3,340,93.94,583.56,582.73
36478745,9269257,94,648.09,2,2314,84.59,562.14,568.18
50058591,12261170,106,872.79,2,3470,86.93,596.84,563.82
9317000,2146027,84,164.10,2,456,79.09,559.53,596.76
6531501,1483554,111,114.13,7,299,94.59,537.12,579.69
8149367,1903895,63,148.33,0,404,80.46,514.6,593.33
26200613,6487775,79,452.90,5,1475,82.11,565.3,536.16
11385619,2743654,50,202.93,0,539,90.96,527.37,586.19
46533227,11858893,142,829.49,2,3170,93.57,500.98,616.93
36914579,9186241,95,646.11,4,2340,89.2,593.5,544.29
2927725,416559,51,48.67,5,176,84.45,539.97,622.51
33741599,8780186,295,597.90,2,2106,81.57,562.8,583.21
57504326,14129703,128,1013.74,1,4226,94.03,548.45,540.08
68017667,16392994,155,1185.68,6,5141,87.18,557.22,605.12
44776546,11423976,115,800.27,1,3036,83.3,529.26,591.21
68867181,16331400,228,1200.43,2,5164,91.57,581.4,551.12
6308317,1388689,43,108.45,1,292,90.86,555.74,538.28
1319352,143464,17,26.12,4,6,81.63,571.38,605.86
40957554,10406394,82,721.70,0,2719,84.19,514.62,581.95
1318420,147752,10,26.32,2,6,89.77,567.71,636.69
